objectid,filename,format,display_template,title,eventtitle,description,eventtype,eventdate,eventlocation,eventcontributor,eventorganizer,postercreator,postertype,posterdescription,language,fileformat,filesize,digitizationdate,rightsinformation
sqi_po_00171_001,sqi_po_00171_001.jpg,image/jpeg,image,Poster for The Audubon Quartet Recital Salon with the Juniper Quartet,The Audubon Quartet Recital Salon with the Juniper Quartet,"A poster for The Audubon Quartet Recital Salon with The Juniper Quartet features a cream background, green text, and a simplified word art drawing of a piano and violin. The words that make up the outline of the instruments read ""touch strings see keys hear voices feel winds"" repeated.",Chamber Ensemble Concert,01-30; 01-31,Squires Recital Salon,The Audubon Quartet; The Juniper Quartet,University Chamber Music; Virginia Tech School of the Arts; Department of Music,,Concert posters,letter pictures,eng,jpeg,2.1 MB,,In Copyright - Educational Use Permitted: http://rightsstatements.org/vocab/InC-EDU/1.0/
sqi_po_00172_001,sqi_po_00172_001.jpg,image/jpeg,image,"Poster for Offending Shadows: Oedipus and Antigone Behind the Shades, Between the Lines by Barbara Carlisle","Offending Shadows: Oedipus and Antigone Behind the Shades, Between the Lines by Barbara Carlisle","A poster for Offending Shadows: Oedipus and Antigone Behind the Shades, Between the Lines by Barbara Carlisle features a colorful collage style with colorful shapes overlaid over a dark image of a sad face.",Play,1997-02-12; 1997-02-13; 1997-02-14; 1997-02-15; 1997-02-16,Squires Studio Theatre,"Carlisle, Barbara",Virginia Tech School of the Arts; Virginia Tech Theatre Arts; University Theatre,,Theatrical posters,collage (technique),eng,jpeg,2.8 MB,,In Copyright - Educational Use Permitted: http://rightsstatements.org/vocab/InC-EDU/1.0/
sqi_po_00173_001,sqi_po_00173_001.jpg,image/jpeg,image,Poster for New River Valley Symphony Concert,New River Valley Symphony Concert,"A poster for New River Valley Symphony Concert featuring a picture of a river bend with a violin superimposed over it. The poster features the following pieces of music: Symphony No. 32, KV 318 by W. A. Mozart; Violin Concerto in E minor, Op. 64 by Felix Mendelssohn featuring Ashley Kunz on violin; Hungarian Dances by Johannes Brahms; ""Cakewalk Suite"" by Gottschalk/Kay.",Symphony,1998-02-28,Burruss Auditorium,"Kunz, Ashley",Virginia Tech School of the Arts; Department of Music,,Concert posters,photographs; overlays (components),eng,jpeg,2.4 MB,,In Copyright - Educational Use Permitted: http://rightsstatements.org/vocab/InC-EDU/1.0/
sqi_po_00174_001,sqi_po_00174_001.jpg,image/jpeg,image,"Poster for A Little Night Music, music and lyrics by Stephen Sondheim and book by Hugh Wheeler","A Little Night Music, music and lyrics by Stephen Sondheim and book by Hugh Wheeler","A poster for A Little Night Music, music and lyrics by Stephen Sondheim and book by Hugh Wheeler features a blue background with a prominent full moon, and two silhouettes of figures standing beside a tree.",Musical,02-22; 02-23; 02-24; 02-25; 02-27; 02-28; 03-01; 03-02,Squires Haymarket Theatre,,Virginia Tech Theatre Arts; University Theatre; Virginia Tech Department of Music ,,Theatrical posters,silhouettes,eng,jpeg,3 MB,,In Copyright - Educational Use Permitted: http://rightsstatements.org/vocab/InC-EDU/1.0/
sqi_po_00175_001,sqi_po_00175_001.jpg,image/jpeg,image,"Poster for Wish the Moon, Swallow the Whole Hot Sun","Wish the Moon, Swallow the Whole Hot Sun","A poster for Wish the Moon, Swallow the Whole Hot Sun features the text ""If you could do it all again ... would you?"" prominently in black on a grey background.",Play,03-20; 03-21; 03-22,Burruss Auditorium,,Virginia Tech School of the Arts; Virginia Tech Theatre Arts; University Theatre,,Theatrical posters,typography,eng,jpeg,2.1 MB,,In Copyright - Educational Use Permitted: http://rightsstatements.org/vocab/InC-EDU/1.0/
sqi_po_00176_001,sqi_po_00176_001.jpg,image/jpeg,image,Poster for Cole: A Musical Entertainment,Cole: A Musical Entertainment,A poster for Cole: A Musical Entertainment put on by the Virginia Tech Theatre Arts and University Theatre depicts newspaper clippings of two people dancing in the foreground overlaid over a head only portrait in the background.,Revue,09-27; 09-28; 09-29; 09-30; 10-02; 10-03; 10-04; 10-05; 10-06,Squires Haymarket Theatre,"Porter, Cole, 1891-1964; Strachan, Alan; Green, Benny",Virginia Tech Theatre Arts; University Theatre,,Theatrical posters,newspaper clippings; overlays (components);          portrait photography; portrait heads; classical dances,eng,jpeg,2.5 MB,,In Copyright - Educational Use Permitted: http://rightsstatements.org/vocab/InC-EDU/1.0/
sqi_po_00178_001,sqi_po_00178_001.jpg,image/jpeg,image,Poster for The French Have a Word For It by Georges Feydeau,The French Have a Word For It by Georges Feydeau,A poster for The French Have a Word For It by Georges Feydeau put on by the Theatre Arts and University Theatre depicts two men in 1920s gard and a woman in the center in a flapper dress in an Art Deco style.,Play,05-13; 05-14; 05-15; 05-16; 05-17,Squires Theatre,,Theatre Arts; University Theatre,,Theatrical posters,Art Deco,eng,jpeg,1.9 MB,,In Copyright - Educational Use Permitted: http://rightsstatements.org/vocab/InC-EDU/1.0/
sqi_po_00179_001,sqi_po_00179_001.jpg,image/jpeg,image,Poster for The Tragical History of Doctor Faustus by Christopher Marlowe,The Tragical History of Doctor Faustus by Christopher Marlowe,A poster for The Tragical History of Doctor Faustus by Christopher Marlowe put on by the Maroon Mask. The poster depicts a line drawing of the titular character.,Play,11-19; 11-20; 11-21,Burruss Hall,,Maroon Mask,,Theatrical posters,line drawings (drawings),eng,jpeg,2.3 MB,,In Copyright - Educational Use Permitted: http://rightsstatements.org/vocab/InC-EDU/1.0/
sqi_po_00069_001,sqi_po_00069_001.jpg,image/jpeg,image,Poster for Dames at Sea,Dames at Sea,A poster for the musical Dame's at Sea. Artwork shows depiction of sailor and woman in 1950's garb with caricature art style.,Musical,04-21; 04-22; 04-23,Squires Theatre,"Miller, Robin; Haimsohn, George; Wise, Jim",Theatre Arts-University Theatre; Virginia Tech,,Theatrical posters,Caricature,eng,jpeg,6.15 MB,,In Copyright - Educational Use Permitted: http://rightsstatements.org/vocab/InC-EDU/1.0/
sqi_po_00307_001,sqi_po_00307_001.jpg,image/jpeg,image,Poster for The Chairs by Eugene Ionesco and Picnic on the Battlefield by Fernando Arrabal,The Chairs; Picnic on the Battlefield,"A poster for two one-act plays, The Chairs by Eugene Ionesco and Picnic on the Battlefield by Fernando Arrabal.",Play; One-Act Play,02-01; 02-02; 02-03; 02-04; 02-05,Wesley Foundation Theatre,"Ionesco, Eugene; Arrabal, Fernando",Theatre Arts-University Theatre,,Theatrical posters,Altar Chairs,eng,jpeg,2.2 MB,,In Copyright - Educational Use Permitted: http://rightsstatements.org/vocab/InC-EDU/1.0/
